city,size_sqm,rooms,age_years,floor,has_balcony,has_parking,has_elevator,distance_cbd_km,district_score,price_per_sqm,total_price_eur,monthly_rent_eur,city_encoded
Munich,53.1,2,16,10,0,0,1,4.73,3.49,9874.14,523800.0,1871.0,6
Leipzig,54.3,2,27,3,1,1,0,9.49,7.43,4164.17,226200.0,808.0,5
Cologne,69.3,2,40,0,0,0,0,0.66,4.46,4711.8,326700.0,1167.0,1
Hamburg,84.2,3,65,8,1,1,1,7.22,7.94,7753.91,652800.0,2331.0,4
Berlin,97.8,3,24,5,0,1,1,7.12,2.29,5498.25,537900.0,1921.0,0
Berlin,54.9,2,57,7,1,0,1,9.22,2.84,4222.94,231900.0,828.0,0
Berlin,112.3,4,40,10,0,0,1,3.7,7.17,5965.9,670100.0,2393.0,0
Düsseldorf,68.2,2,5,3,0,0,0,4.77,6.04,7165.31,488800.0,1746.0,2
Hamburg,74.5,2,74,8,1,1,1,3.2,2.83,5761.58,429000.0,1532.0,4
Cologne,56.3,2,37,1,1,0,0,13.21,9.13,4846.76,273000.0,975.0,1
Berlin,25.0,1,5,8,1,1,1,1.12,3.48,7276.55,181900.0,650.0,0
Leipzig,97.1,3,44,11,0,1,1,26.36,4.79,2367.64,229900.0,821.0,5
Stuttgart,93.4,3,74,4,0,0,1,8.06,2.82,4792.86,447800.0,1599.0,7
Munich,68.0,2,13,5,1,0,1,17.44,4.49,10243.49,696200.0,2486.0,6
Berlin,76.7,3,65,2,0,1,0,4.44,5.42,5313.59,407400.0,1455.0,0
Berlin,87.9,3,39,3,1,0,0,3.23,3.66,6220.88,546800.0,1953.0,0
Munich,35.9,1,2,5,1,0,1,18.48,7.92,10990.58,395000.0,1411.0,6
Hamburg,61.8,2,23,6,0,0,1,0.83,4.55,7860.98,485600.0,1734.0,4
Frankfurt,94.9,3,18,0,0,0,0,1.0,7.57,7953.72,754500.0,2695.0,3
Munich,43.6,1,17,6,1,1,1,2.85,2.86,10827.28,472500.0,1688.0,6
Hamburg,82.3,3,63,0,0,0,0,25.71,4.39,4146.36,341400.0,1219.0,4
Berlin,41.1,1,34,4,0,1,1,8.02,1.07,4937.19,202800.0,724.0,0
Munich,86.7,3,61,5,0,0,1,6.46,7.83,9075.92,786500.0,2809.0,6
Munich,74.1,2,0,1,0,1,0,9.78,6.63,10820.02,801900.0,2864.0,6
